# 佛菩薩、尊者名稱與專有名詞
釋迦摩尼佛	釋迦牟尼佛
加受尊者	迦葉尊者
加塞真的	迦葉尊者
加塞尊責	迦葉尊者
佳瑞尊者	迦葉尊者
加勒尊哲	迦葉尊者
加熱尊者	迦葉尊者
阿蘭尊哲	阿難尊者
明樂佛	彌勒佛
明日佛	彌勒佛
孫子老大人	師尊老大人
帝公	故宮
# 佛教術語與經典名稱
活性	佛性
佛報	果報
輪尾	輪迴
壞道	外道
一貫到	一貫道
醫波	衣缽
所醫	守衣
入兵	入定
走一入定	守衣入定
所一入定	守衣入定
所一	守衣
禪病	禪定
真病	真定
無盡病	無盡定
小勝	小乘
經理一	金縷衣
死亡世界	十方世界
死亡致界	十方世界
法寶壇一	法寶壇經
團政法院長	傳正法眼藏
政法院長	正法眼藏
內盤	涅槃
內藩	涅槃
蘇佛世界	娑婆世界
宗佛世界	娑婆世界
說佛世界	娑婆世界
佛谷世界	娑婆世界
插花世界	他方世界
阿弩多羅三秒成就	阿耨多羅三藐三菩提
明日進度	彌勒淨土
翻變嘴語	方便隨宜
偷戒	受戒
王國建議	蒙佛接引
王山佛國	往生佛國
# 易混淆詞與發音錯誤
宮委	氛圍
因緣失造	因緣施道
準神	準繩
師和事	何是
合法認	何法信
合法師	何法施
合法學	何法修
壞債	外在
德黑毒後	得天獨厚
得生讀後	得天獨厚
聖中心	正中心
揮護	恢復
變腳石	墊腳石
半腳石	絆腳石
常那麼多	差那麼多
先舉條件	先決條件
責心應所	得心應手
嚴辯	演變
戰嘆	讚嘆
劫薩重見命	劫凡眾見命
戰處	善處
史詩	死屍
不說史詩	不收死屍
猴鳥	弘揚
張獨乍	當菩薩
詭謗過我	毀謗佛法
# 專有名詞與佛教術語修正
修禪病	修禪定
迦瑟尊哲	迦葉尊者
加塞真者	迦葉尊者
法首門	華首門
華索文	華首門
佛序	佛性
無恙的佛	無量的佛
摩說	魔說
身相	真相
正懷隱藏	正法眼藏
正法眼長	正法眼藏
無尚造化	無上大法
劫薩	劫煞
共襄聖女	共襄盛舉
彌樂佛	彌勒佛
彌樂音源	彌勒因緣
上聖經	上生經
佛福薩	佛菩薩
大夫殺	大菩薩
福賢菩薩	普賢菩薩
夢法師徒	末法時期
為摩天居士	維摩詰居士
釋迦摩天	釋迦牟尼
阿諾多羅	阿耨多羅
三妙三婦子	三藐三菩提
三秒成就	三藐三菩提
入主	六祖
禁口	淨土
填人	天人
受簡	說戒
簡離	戒律
薩多	薩埵
# 常見語意、文法與發音辨識修正
脫向	抽象
平住了	停住了
文而為心	聞而未信
文了不信	聞而不信
近見頭	境界不同
溫法	聞法
搞不服事	搞糊塗事
真結之後	真解之後
名家	民間
正不正	證不證
口印度	古印度
左撞風	五濁當中
大海盤盤	大海茫茫
明容若明白	沒有弄明白
投損戰嘆	都讚嘆
為知眾生	為諸眾生
去復	去路
萌縮	濃縮
稱入點	切入點
極福	極苦
翻變嘴語	方便權宜
強制群	強制性
大鄉南北	大江南北
揮護它	恢復它
所調的	所要的
中部的皮	動物的皮
好然者	好難得
一把經書	一部經書
敢做是不成的	感受是不同
不怕有情	度化有情
迄躁	急躁
迄道	急躁
基督上	經書上
結束那麼多	劫數那麼多
詩人	世人
無名	無明
浮發	浮華
鎖了金	守了淨
鎖了餅	守了戒
# 專有名詞與佛教術語修正
封就	究竟
聖年	聖人
恩裡造斷	言語道斷
心情內處	心行處滅
阿蘭	阿難
內旁	涅槃
二六時鐘	二六時中
轉發輪	轉法輪
學悟主佛	覺悟解脫
觀世音波上	觀世音菩薩
文春菩薩	文殊菩薩
四帝華	四諦法
三個落學	三無漏學
華盈經	華嚴經
正法案上	正法眼藏
佛文宗人	佛門中人
斷東風	斷宗風
六十三斤	六祖壇經
郭柔品	般若品
禪君	壇經
避惡俊徒	彌勒淨土
農佛皆贏	蒙佛接引
以惡尊佛	彌勒尊佛
光明天天	光音天
天年	天人
# 語意、文法與發音辨識修正
引匯入聖	引人入勝
隨於說法	隨語說法
虧見第二個	窺見一二
休息人	修行人
佛來裡面	苦海裡面
活那麼的圓滿	佛那麼的圓滿
有人重充	有緣眾生
無量地	無量億
聖讀	勝讀
無緣大識	無緣大慈
救福	救苦
無樣無緣	無量無邊
一斤點地	一丁點的
唱會之間	剎那之間
化神前擺	化身千百億
環珠眾說	凡夫眾生
生者見深	深者見深
小順	小乘
滅主人	滅除這些
捆先神	捆仙繩
照三二月	造三惡業
淺誠	淺層
邊境	精進
搞魂	搞混
一層次者	低層次的
紅娘	弘揚
作識的	過時的
一和休息	依佛修行
仲德大日	重責大任
靈狗語言	民國幾年
西洋語言	西元幾年
多誠必起	多此一舉
物者為師	悟者為師
獎金	講經
貪人獎金	才能講經
有雞	有機
無雞	無機
屈起必修	趨吉避凶
提管	踢館
山羊山	三兩三
羊山	梁山
破紅爛田	破銅爛鐵
佛者莊寧	福德莊嚴
總義公平的	總要公平的
避址	弟子
顏來造化	人來造化
彈彈幹	嚐嚐看
革命	粳米
錢毛	嫌麻煩
腿雞	囤積
生酸	爭端
湖子	鬍子
# 專有名詞與佛教術語修正
三聖	三乘
宗聖	中乘
明珊法會	靈山法會
明珠法會	靈山法會
明珠菩薩	文殊菩薩
佛神不再問	文殊菩薩問
六度幻形	六度萬行
問佛羅蜜	六波羅蜜
大功小聖	大乘小乘
九落不死	酒肉不食
久落	酒肉
赤地	次第
瓷戒	持戒
能詳佑	能降六賊
能詳六解	能降六賊
能斷邪灰	能斷邪非
淡妄酒	淫妄酒
受殺彌劍	受沙彌戒
殺民戒	沙彌戒
殺民使戒	沙彌十戒
五昏	五葷
攝利福	舍利弗
穆前年	目犍連
穆年	目連
佛羅文	婆羅門
身袍	僧袍
歐道	惡道
趨頭環	須陀洹
# 常見語意、文法與發音辨識修正
文清	聞經
更上稱我	更上層樓
暢程火	上層樓
避造	締造
學道	邪道
站姿勢	善知識
省區好工	省去好多
赤地	次序
接丁	階梯
世世而會	是是而非
意戀	意念
回來回去	飛來飛去
二度子	餓肚子
抹取	謀取
鑽錢	賺錢
慧病	慧命
費命	慧命
貪囚	貪求
恩愛不累	恩愛不戀
福慰的浪費	無謂的浪費
例一大眾	利益大眾
日死你三	日行一善
悄悄咋咋	敲敲打打
打我咋谷	打鼓打鼓
老龍	牢籠
一大同	一大桶
交財	交差
民內的	泯滅了
南桌	蘭州
關乘必經	關聖帝君
金桌	荊州
南槌比宋	南水北送
美目全微	面目全非
壞下	外相
網舌道	蟒蛇道
盲河道	蟒蛇道
爭奪	爭鬥
提出別人	嫉妒別人
黑鮮	海鮮
重戰奉行	眾善奉行
懷惱	煩惱
受者相	壽者相
連我不爭	人我不爭
點換	典範
諸惡斷做	諸惡莫作
團團裡面	道場裡面
法略	法會
單路華語	甘露法語
稍稀	道親
靈狗出臉	民國初年
使律	戒律
燃熟	人說
成怒	瞋恚
甜甜一點	撿點一點
立無蹤	立如松
射瘦	攝受
胃移	威儀
逃不起	瞧不起
戀謀	念頭
修編	修邊
沾談木	旃檀木
談木	檀木
切桌	切磋
平白無垢	平白無故
法鬥	法座
苛救	窠臼
簡陪你	撿便宜
# 專有名詞與佛教術語修正
赤地狗	次第
強譜解譯	能降六賊
地底戒團人	第十三代祖師
威家	儒家
六雷	六賊
# 常見語意、文法與發音辨識修正
護離它	複習它
年世間	人世間
大院	大願
行接著	銜接的
赤地	次弟
類偽	類別
打我咋谷	敲鑼打鼓
專官語言	雙關語言
狙擊	舉止
偷惡	錯誤
外對了誰	怪得了誰
你的存佛	彌勒菩薩
親口	清口
向法	像法
姻緣	因緣
思維	思惟
大小聖	大小乘
大聖	大乘
小聖	小乘
大勝	大乘
明樂	彌勒
尋修	薰修
經帳	經藏
上身多帥天經	上生兜率天經
靜音	近因
近音	近因
音源	因緣
瘟神	瘟神
地主	弟子
做教	做醮
吃戶	吃素
齋教	齋醮
摘教	齋醮
摘角	齋醮
宅教	齋醮
賠虧	回饋
射身	色身
途徑	讀經
圖慶	讀經
摘醮	齋醮
吃樹	吃素
國法	佛法
吉利鬼	疾疫鬼
異神	疫神
虛頭蠻	須陀洹
地神菩薩	地前菩薩
世堅	世間
三字式	善知識
絕活	學佛
文智	文字
就近	究竟
四聖地	四聖諦
加瑟	迦葉
放聲	放生
戀君	唸經
戀佛	唸佛
秒脫	了脫
國性	佛性
明樂科	彌勒歌
明樂監理	彌勒淨土
兵源	因緣
歸依	皈依
設身	色身
修平	修行
家鼠	枷鎖
共生	眾生
無名家	無名枷
明相	名相
無名家	無明枷
六四	六識
六層	六塵
甲我	假我
大順	大乘
活法	佛法
扁船師	點傳師
一半到	一貫道
不過不近	不垢不淨
道彼岸	到彼岸
迷向	名相
攝身	色身
舍利盧	舍利弗
產還	償還
佛信	佛性
佛心 佛性
裝顏	莊嚴
橫積	痕跡
